ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Distance,Time_taken(min)
5728,INDORES18DEL01,29,4.0,22.753839,75.897429,22.823839,75.967429,Drinks ,2,10.586817607222981,32
11D1,HYDRES12DEL03,37,4.9,17.429585,78.392621,17.489585,78.452621,Snack ,1,9.220418694558179,19
491,CHENRES01DEL02,29,4.6,13.005801,80.250744,13.135801,80.380744,Buffet ,1,20.17984922053873,27
66FE,MYSRES06DEL03,36,4.7,12.323994,76.626167,12.413994,76.716167,Drinks ,3,13.98951205355768,29
3CEA,COIMBRES16DEL01,36,4.4,11.010375,76.95295,11.120375,77.06295,Snack ,1,17.13783007771357,37
7612,HYDRES19DEL01,35,4.7,17.458998,78.500366,17.468998,78.510366,Drinks ,3,1.5367187556842812,18
398C,JAPRES12DEL02,39,4.8,26.902908,75.792934,26.982908,75.872934,Drinks ,3,11.917101549462794,28
644F,VADRES010DEL01,38,4.3,22.310329,73.169083,22.320329,73.179083,Snack ,2,1.514793721388757,21
AA47,BANGRES19DEL03,25,4.9,12.914264,77.6784,13.004264,77.7684,Buffet ,2,13.973727486522968,17
8BDC,JAPRES14DEL03,33,4.6,26.88842,75.800689,27.02842,75.940689,Drinks ,2,20.853653606522474,41
3B37,PUNERES010DEL02,27,4.6,18.539299,73.897902,18.589299,73.947902,Drinks ,2,7.660840811905797,10
C10D,GOARES010DEL02,29,4.6,15.546594,73.760431,15.626594,73.840431,Meal ,3,12.35111871730461,37
C432,GOARES12DEL03,22,4.2,15.516833,73.768172,15.546833,73.798172,Buffet ,2,4.632263051146014,37
B582,VADRES010DEL02,37,4.7,22.310329,73.169083,22.440329,73.299083,Meal ,2,19.68840740892438,39
9C51,COIMBRES06DEL01,35,4.8,11.021278,76.995017,11.091278,77.065017,Drinks ,2,10.906058503327221,26
638F,BANGRES18DEL01,21,2.5,12.913041,77.683237,12.983041,77.753237,Meal ,2,10.86869350467311,42
D0A7,ALHRES08DEL01,28,4.8,25.450329,81.834279,25.460329,81.844279,Drinks ,3,1.498149229702275,20
C1D7,LUDHRES010DEL02,38,4.5,30.89286,75.822199,30.91286,75.842199,Buffet ,2,2.9303450916192486,27
2FA6,COIMBRES17DEL02,29,4.9,11.026117,76.944652,11.046117,76.964652,Buffet ,2,3.116121839413475,11
D6C6,AGRRES04DEL03,26,5.0,27.195928,77.998092,27.285928,78.088092,Buffet ,3,13.390975771120049,11
9195,INDORES19DEL01,33,4.5,22.745536,75.893106,22.815536,75.963106,Buffet ,2,10.587113705075847,26
19999999999999998987742705941480377339272900220268201461678080,PUNERES12DEL02,32,4.7,18.520016,73.830547,18.650016,73.960547,Snack ,2,19.917038235830073,53
C7ED,KNPRES20DEL03,29,4.6,26.47,80.35,26.61,80.49,Drinks ,3,20.88773485450129,18
D099,BHPRES01DEL02,35,4.1,23.211529,77.419399,23.231529,77.439399,Snack ,3,3.0203600608486236,33
3075,RANCHIRES04DEL01,22,4.8,23.359033,85.325347,23.469033,85.435347,Drinks ,2,16.600975700594585,46
44B1,MUMRES010DEL01,22,4.6,19.003517,72.82765,19.073517,72.89765,Buffet ,1,10.710903359654202,18
C9A5,ALHRES17DEL02,25,4.9,25.45235,81.841889,25.47235,81.861889,Snack ,2,2.99621994554619,26
C8F7,ALHRES08DEL01,30,4.6,25.450329,81.834279,25.490329,81.874279,Meal ,2,5.992261339612392,39
4421,MYSRES17DEL01,27,5.0,12.326356,76.619103,12.366356,76.659103,Drinks ,2,6.217824017922212,24
134D,RANCHIRES18DEL02,35,4.5,23.351489,85.324253,23.481489,85.454253,Snack ,2,19.61916749330441,27
504A,BANGRES06DEL01,21,4.8,12.979096,77.640625,13.049096,77.710625,Buffet ,3,10.86728673513013,23
C165,LUDHRES03DEL02,31,4.2,30.88722,75.804893,30.93722,75.854893,Buffet ,2,7.325558747690406,39
68000000,PUNERES01DEL03,22,4.5,18.569156,73.774723,18.599156,73.804723,Buffet ,2,4.596251207088927,21
2515,PUNERES06DEL02,28,4.8,18.546258,73.904337,18.566258,73.924337,Drinks ,2,3.064404727369966,15
28B5,MUMRES06DEL02,33,4.7,19.055831,72.833984,19.105831,72.883984,Buffet ,2,7.649724402449684,27
5FCA,COIMBRES12DEL01,34,4.9,11.000762,76.981876,11.010762,76.991876,Snack ,2,1.5581398113186737,27
81AB,CHENRES18DEL03,31,4.7,12.981615,80.231598,13.041615,80.291598,Drinks ,2,9.314862687658115,21
88D8,COIMBRES16DEL02,24,4.4,11.010375,76.95295,11.090375,77.03295,Snack ,2,12.46418980459368,43
10,RANCHIRES15DEL02,20,4.9,23.369746,85.33982,23.419746,85.38982,Drinks ,3,7.546401421474661,17
8BD3,INDORES07DEL03,23,4.7,22.722634,75.886959,22.812634,75.976959,Buffet ,2,13.612594236925654,22
5CF7,SURRES17DEL01,34,4.7,21.149569,72.772697,21.159569,72.782697,Buffet ,2,1.5204709334108633,27
1BCE,HYDRES18DEL01,23,4.8,17.450851,78.379347,17.520851,78.449347,Buffet ,3,10.756415548797705,44
B450,PUNERES16DEL03,20,4.9,18.536718,73.830327,18.596719,73.890327,Drinks ,3,9.19302787417212,14
85C4,JAPRES15DEL02,35,4.7,26.891191,75.802083,26.911191,75.822083,Drinks ,1,2.979763497462109,26
2DB3,JAPRES16DEL03,36,4.1,26.849596,75.800512,26.909596,75.860512,Drinks ,2,8.940047176804278,33
CA68,KOLRES07DEL03,35,4.8,22.547186,88.35068,22.637186,88.44068,Buffet ,2,13.620606901382935,15
5219,PUNERES09DEL03,38,5.0,18.536562,73.896485,18.626562,73.986485,Drinks ,3,13.788852089943367,34
507B,CHENRES04DEL01,35,4.2,13.02978,80.208812,13.06978,80.248812,Drinks ,2,6.209442398392529,32
CA80,GOARES17DEL03,35,4.9,15.496162,73.825364,15.556162,73.885364,Snack ,2,9.264648568906685,17
178B,COIMBRES18DEL03,26,4.9,11.02091,76.940432,11.11091,77.030432,Meal ,2,14.021848812228344,33
ACD1,MUMRES03DEL01,21,4.5,19.22384,72.841347,19.23384,72.851347,Buffet ,2,1.5292976945190186,18
3074,HYDRES04DEL02,21,4.2,17.411028,78.329645,17.431028,78.349645,Buffet ,2,3.073782598017619,22
C5A3,DEHRES16DEL02,32,4.8,30.342509,78.061187,30.422509,78.141187,Drinks ,3,11.748234358739852,15
3F22,BANGRES02DEL03,34,4.2,12.970221,77.645396,13.060221,77.735396,Buffet ,3,13.972194586930332,32
6281,MYSRES13DEL03,23,4.6,12.310972,76.659264,12.400972,76.749264,Drinks ,3,13.989852322089257,20
960C,COIMBRES11DEL01,31,4.0,11.001753,76.986241,11.011753,76.996241,Buffet ,2,1.558137239175215,33
687C,COIMBRES03DEL03,25,4.8,11.025083,77.015393,11.085083,77.075393,Meal ,3,9.348068923522018,12
3B57,RANCHIRES11DEL03,20,4.6,23.359194,85.325447,23.449194,85.415447,Drinks ,2,13.583078662317007,29
2C73,JAPRES14DEL01,35,4.3,26.88842,75.800689,26.99842,75.910689,Buffet ,2,16.38598063528554,45
DF24,DEHRES04DEL01,37,3.9,30.340722,78.060221,30.410722,78.130221,Buffet ,3,10.280009835772024,39
B2DD,COIMBRES12DEL01,35,4.2,11.000762,76.981876,11.040762,77.021876,Drinks ,3,6.232403352170867,32
9204,CHENRES06DEL02,25,4.5,13.054347,80.257221,13.074347,80.277221,Buffet ,3,3.104632093351238,29
8DA6,CHENRES15DEL03,36,4.6,13.026286,80.275235,13.086286,80.335235,Buffet ,2,9.314044064891696,28
C2B0,AGRRES18DEL02,26,4.9,27.161694,78.034714,27.181694,78.054714,Snack ,2,2.9765891396437967,27
4439,CHENRES02DEL03,22,4.8,13.086438,80.220672,13.176438,80.310672,Meal ,3,13.968990746015168,36
CE92,BHPRES08DEL03,23,4.5,23.232537,77.429845,23.292537,77.489845,Snack ,2,9.059804963936871,20
574D,PUNERES02DEL01,27,4.6,18.55144,73.804855,18.62144,73.874855,Snack ,2,10.724517748046024,15
39BA,RANCHIRES18DEL03,35,4.8,23.351489,85.324253,23.441489,85.414253,Buffet ,2,13.583440059634135,36
D456,DEHRES08DEL01,23,4.7,30.359722,78.067079,30.369722,78.077079,Drinks ,3,1.4686434271076758,33
6149,SURRES20DEL02,34,4.8,21.15276,72.778059,21.23276,72.858059,Buffet ,2,12.162306145096025,25
A850,PUNERES19DEL01,22,4.9,18.563934,73.915367,18.573935,73.925367,Meal ,2,1.532229188735096,23
AA5,SURRES010DEL02,29,4.6,21.17106,72.789292,21.30106,72.919292,Meal ,2,19.761050003538962,45
CE3B,AGRRES08DEL03,35,4.6,27.160934,78.044095,27.220934,78.104095,Buffet ,2,8.92908688893574,24
5937,RANCHIRES09DEL03,30,4.7,23.351058,85.325731,23.381058,85.355731,Drinks ,1,4.528289130580048,25
5ECA,PUNERES20DEL01,35,4.8,18.592718,73.773572,18.662718,73.843572,Snack ,3,10.723286946137815,19
BEC 8.00,MYSRES20DEL02,22,4.9,12.337978,76.616792,12.417978,76.696792,Drinks ,2,12.434913132379245,25
836B,MUMRES11DEL02,36,4.6,18.994237,72.825553,19.044237,72.875553,Buffet ,2,7.6510644585303815,26
3979,INDORES05DEL03,20,4.6,22.727021,75.884167,22.757021,75.914167,Buffet ,2,4.537922749289298,15
6B57,MYSRES17DEL02,39,4.2,12.326356,76.619103,12.406356,76.699103,Drinks ,2,12.43518327861207,33
378F,BANGRES14DEL01,34,4.8,12.949934,77.699386,12.989934,77.739386,Snack ,2,6.210416158377501,27
E102,GOARES12DEL03,38,4.0,15.516833,73.768172,15.546833,73.798172,Buffet ,2,4.632263051146014,32
81D2,SURRES05DEL01,37,5.0,21.175104,72.804342,21.285104,72.914342,Meal ,2,16.721203191622227,25
4AD9,HYDRES08DEL02,31,4.8,17.438263,78.397865,17.568263,78.527865,Meal ,3,19.975286862388522,21
C2BE,GOARES06DEL02,31,4.9,15.56155,73.749092,15.58155,73.769092,Buffet ,2,3.087888623548509,15
1439,COIMBRES18DEL01,21,4.5,11.02091,76.940432,11.03091,76.950432,Buffet ,3,1.5580874730609473,17
1E7E,INDORES11DEL02,37,4.5,22.751234,75.88949,22.801234,75.93949,Buffet ,2,7.562333809640329,17
4651,JAPRES14DEL01,28,4.6,26.88842,75.800689,26.92842,75.840689,Buffet ,3,5.959357904254251,23
BCD3,PUNERES04DEL01,23,4.9,18.51421,73.838429,18.58421,73.908429,Drinks ,1,10.72562572441868,30
1258,BANGRES18DEL02,20,4.8,12.913041,77.683237,13.043041,77.813237,Snack ,2,20.183529728733618,22
52AB,CHENRES03DEL03,30,4.8,13.091809,80.219104,13.121809,80.249104,Drinks ,3,4.656557579510365,15
8F80,SURRES02DEL03,20,4.8,21.186608,72.794136,21.276608,72.884136,Buffet ,2,13.68092007746041,18
D1E1,ALHRES07DEL02,28,4.8,25.449659,81.839744,25.529659,81.919744,Meal ,3,11.983656938071034,34
331D,INDORES02DEL02,36,4.9,22.651847,75.881991,22.701847,75.931991,Snack ,2,7.564859910416516,26
6B7F,HYDRES11DEL01,30,4.3,17.430448,78.418213,17.470448,78.458213,Snack ,2,6.147092755626801,38
B693,BANGRES010DEL01,34,4.8,12.933298,77.614293,12.943298,77.624293,Buffet ,3,1.5527001159059903,17
CEF,INDORES13DEL03,29,4.6,22.745049,75.892471,22.805049,75.952471,Drinks ,3,9.074836683459717,16
89FE,SURRES01DEL02,24,5.0,21.186438,72.794115,21.266438,72.874115,Meal ,3,12.1610162189127,27
A588,MUMRES16DEL01,30,4.6,19.120083,72.907385,19.160083,72.947385,Meal ,3,6.118745338337484,17
CF88,GOARES06DEL03,33,4.4,15.56155,73.749092,15.62155,73.809092,Buffet ,2,9.263231656574524,21
5800000,CHENRES20DEL01,22,4.9,12.975996,80.221898,12.985996,80.231898,Drinks ,2,1.5525704156536744,15
DE2C,BHPRES20DEL02,30,4.5,23.235123,77.398886,23.365123,77.528886,Meal ,2,19.6270393477512,18
8FA4,RANCHIRES01DEL02,27,4.6,23.416792,85.316842,23.496792,85.396842,Drinks ,2,12.071652559029582,23
5EED,SURRES13DEL01,37,4.8,21.170096,72.789122,21.210096,72.829122,Snack ,3,6.081204324626466,22
8496,BANGRES09DEL01,39,4.8,12.934179,77.615797,12.974179,77.655797,Meal ,3,6.210607623190057,33
622A,RANCHIRES08DEL01,21,4.9,23.353783,85.326967,23.423783,85.396967,Drinks ,2,10.565179206181444,21
6A7E,MYSRES02DEL02,24,4.9,12.304569,76.643622,12.384569,76.723622,Drinks ,2,12.435689047425509,29
8340,BANGRES13DEL03,24,5.0,12.935662,77.61413,13.025662,77.70413,Buffet ,3,13.973142050149699,15
E282,AGRRES12DEL03,34,4.2,27.165108,78.015053,27.195108,78.045053,Meal ,2,4.464734973807576,37
6A12,HYDRES05DEL02,28,4.6,17.433809,78.386744,17.513809,78.466744,Buffet ,3,12.29343378697411,39
CE7D,KOLRES01DEL01,34,4.4,22.514688,88.393294,22.624688,88.503294,Snack ,3,16.64865888817196,32
7732,INDORES11DEL03,29,4.3,22.751234,75.88949,22.781234,75.91949,Drinks ,2,4.537553114731602,44
ADB7,COIMBRES05DEL01,35,4.0,11.022169,76.999594,11.092169,77.069594,Drinks ,2,10.906042243292653,37
8392,INDORES12DEL01,23,4.8,22.74806,75.8934,22.78806,75.9334,Snack ,2,6.0500335924587025,23
889E,CHENRES010DEL01,35,4.8,13.066762,80.251865,13.106762,80.291865,Snack ,2,6.208989450210038,16
6021,BANGRES14DEL02,38,5.0,12.949934,77.699386,13.079934,77.829386,Snack ,2,20.182068898087746,26
3F78,HYDRES01DEL03,27,4.6,17.410371,78.437225,17.440371,78.467225,Snack ,1,4.610621612645187,13
D3CE,KOCRES08DEL02,26,4.8,9.985497,76.276999,10.005497,76.296999,Meal ,2,3.121289858433797,21
4239,CHENRES01DEL01,32,5.0,13.005801,80.250744,13.045801,80.290744,Drinks ,3,6.209735433842075,32
BB83,MUMRES07DEL01,36,4.3,19.091458,72.827808,19.161458,72.897808,Buffet ,2,10.708220667367794,31
6D60,MUMRES14DEL02,21,4.1,19.1813,72.836191,19.3113,72.966191,Drinks ,3,19.879870677373702,38
B897,MUMRES07DEL02,20,4.6,19.091458,72.827808,19.141458,72.877808,Buffet ,2,7.648947507755509,26
1493,INDORES19DEL03,35,5.0,22.745536,75.893106,22.805536,75.953106,Buffet ,3,9.074821802568852,17
6965,JAPRES13DEL01,39,4.2,26.846156,75.8023,26.916156,75.8723,Meal ,2,10.42999110860193,43
6F61,CHENRES17DEL03,30,4.3,13.045479,80.23311,13.135479,80.32311,Snack ,3,13.970122998261997,34
80D0,HYDRES18DEL02,33,4.9,17.450851,78.379347,17.500851,78.429347,Drinks ,3,7.683355299930933,25
5963,MUMRES14DEL02,21,4.9,19.1813,72.836191,19.3113,72.966191,Drinks ,2,19.879870677373702,22
5BEA,MUMRES14DEL01,20,4.8,19.1813,72.836191,19.2213,72.876191,Drinks ,2,6.117673772819904,16
BD05,COIMBRES04DEL03,27,4.6,11.024839,77.007003,11.114839,77.097003,Drinks ,1,14.021756535050493,11
5880,INDORES19DEL01,39,4.5,22.745536,75.893106,22.755536,75.903106,Drinks ,2,1.5125976112065025,22
D98F,KOLRES17DEL03,36,4.7,22.569358,88.433452,22.599358,88.463452,Meal ,2,4.540321372891478,18
72AC,COIMBRES06DEL01,29,4.5,11.021278,76.995017,11.031278,77.005017,Snack ,2,1.5580865162468949,11
3158,COIMBRES17DEL02,24,4.1,11.026117,76.944652,11.046117,76.964652,Meal ,2,3.116121839413475,16
4100,MUMRES02DEL02,38,4.7,19.221315,72.862381,19.351315,72.992381,Drinks ,2,19.877584031408645,25
D72F,ALHRES17DEL01,28,4.7,25.45235,81.841889,25.52235,81.911889,Buffet ,2,10.485790436289504,31
CD00,AGRRES13DEL02,39,4.7,27.159795,78.04299,27.239795,78.12299,Snack ,2,11.905030946256334,38
2497,INDORES19DEL02,35,4.5,22.745536,75.893106,22.875536,76.023106,Meal ,2,19.659792615101523,18
17AB,RANCHIRES08DEL02,30,4.2,23.353783,85.326967,23.483783,85.456967,Drinks ,3,19.61901197596057,37
DC20,AURGRES06DEL02,23,4.9,19.874449,75.360232,20.004449,75.490232,Buffet ,1,19.839659093708985,38
5DB0,MUMRES14DEL03,38,4.8,19.1813,72.836191,19.2113,72.866191,Snack ,1,4.588321086013583,31
19999999999999999347120150013191038445492807213299959826532049237266006443819008,SURRES06DEL02,20,5.0,21.185047,72.80859,21.315047,72.93859,Drinks ,3,19.760178243292938,19
224A,MYSRES05DEL02,25,4.6,12.323978,76.627961,12.453978,76.757961,Meal ,3,20.20631641648197,16
459D,MUMRES07DEL02,34,4.9,19.091458,72.827808,19.171458,72.907808,Snack ,2,12.237791615217148,20
8CE2,BANGRES18DEL03,22,4.8,12.913041,77.683237,13.003041,77.773237,Snack ,2,13.973760919164192,23
3FEA,CHENRES03DEL01,23,4.7,13.091809,80.219104,13.131809,80.259104,Drinks ,2,6.2086819840397665,27
95000000,SURRES08DEL01,22,4.8,21.173343,72.792731,21.213343,72.832731,Snack ,2,6.081142187746012,15
B476,BANGRES04DEL01,20,4.6,12.98041,77.640489,13.02041,77.680489,Snack ,1,6.210045163136143,21
D3B7,AGRRES12DEL02,25,4.8,27.165108,78.015053,27.245108,78.095053,Snack ,3,11.904780345542626,27
B6F9,CHENRES06DEL01,37,4.7,13.054347,80.257221,13.164347,80.367221,Snack ,3,17.07395729139767,22
8BF1,COIMBRES19DEL01,33,5.0,11.022298,76.998349,11.092298,77.068349,Meal ,3,10.906039889040942,26
742A,COIMBRES08DEL01,32,4.7,11.001852,76.976268,11.011852,76.986268,Drinks ,2,1.5581369822072066,26
AC64,BANGRES05DEL03,36,4.7,12.970324,77.645748,13.000324,77.675748,Buffet ,3,4.657671710224878,18
CF9,SURRES19DEL02,29,4.6,21.149669,72.772629,21.169669,72.792629,Drinks ,3,3.0408931296411703,15
3776,BANGRES04DEL01,25,5.0,12.98041,77.640489,12.99041,77.650489,Drinks ,3,1.5525569843004512,32
9229,INDORES13DEL03,37,4.0,22.745049,75.892471,22.775049,75.922471,Snack ,2,4.537647566708254,40
B85C,CHENRES03DEL01,34,4.9,13.091809,80.219104,13.101809,80.229104,Meal ,2,1.5522165637171133,28
55D9,HYDRES02DEL02,37,4.7,17.41233,78.449654,17.49233,78.529654,Drinks ,2,12.294124530423586,47
722F,PUNERES17DEL02,33,4.8,18.530963,73.828972,18.550963,73.848972,Meal ,3,3.0645346577473593,17
2299,MUMRES04DEL01,39,4.9,19.254567,72.848923,19.264567,72.858923,Drinks ,2,1.529162766029632,22
B17E,MYSRES04DEL03,32,4.7,12.3085,76.665808,12.3985,76.755808,Drinks ,3,13.989916877275611,26
34A7,JAPRES14DEL03,29,4.5,26.88842,75.800689,26.97842,75.890689,Buffet ,2,13.407238587856966,16
83F3,PUNERES03DEL03,38,4.7,18.554382,73.798206,18.644382,73.888206,Buffet ,3,13.788169484007305,42
2AFF,SURRES04DEL01,31,4.9,21.173493,72.801953,21.243493,72.871953,Snack ,3,10.641490945494409,28
9D0B,INDORES17DEL03,36,4.9,22.761226,75.887522,22.821226,75.947522,Buffet ,3,9.07434222926449,35
6A79,BANGRES11DEL01,38,4.6,12.934365,77.616155,12.974365,77.656155,Snack ,2,6.210605364096597,28
C2DE,BHPRES03DEL02,35,4.1,23.214294,77.435361,23.344294,77.565361,Meal ,2,19.628444862002542,42
B3F8,HYDRES11DEL02,24,4.6,17.430448,78.418213,17.480448,78.468213,Meal ,3,7.683765443180289,28
B310,BANGRES05DEL03,31,4.9,12.970324,77.645748,13.030324,77.705748,Drinks ,2,9.315069177421892,36
580C,RANCHIRES13DEL02,31,4.6,23.374989,85.335486,23.394989,85.355486,Meal ,3,3.0186622920269803,19
BFB6,BHPRES06DEL02,38,4.7,23.232357,77.429989,23.252357,77.449989,Snack ,2,3.020144294382319,24
D45A,LUDHRES08DEL01,28,4.6,30.899992,75.831338,30.939992,75.871338,Snack ,3,5.860245226449054,24
A99C,CHENRES09DEL03,21,4.9,13.044694,80.26147,13.134694,80.35147,Buffet ,2,13.97014466545326,47
6AB,PUNERES12DEL03,29,4.6,18.520016,73.830547,18.580016,73.890547,Buffet ,2,9.193373039577208,34
49F4,SURRES19DEL01,38,4.9,21.149669,72.772629,21.189669,72.812629,Drinks ,3,6.081595038517862,17
407E,PUNERES13DEL01,31,4.0,18.56245,73.916619,18.57245,73.926619,Snack ,2,1.5321547990764783,23
DC33,KOLRES16DEL01,20,4.9,22.539129,88.365507,22.579129,88.405507,Meal ,3,6.054271781604871,25
54BB,BANGRES18DEL02,36,3.6,12.913041,77.683237,12.993041,77.763237,Meal ,3,12.421242442902571,44
C666,LUDHRES010DEL01,22,4.6,30.89286,75.822199,30.96286,75.892199,Drinks ,3,10.255071075729065,27
C98F,AURGRES07DEL01,28,4.0,19.875908,75.358888,19.945908,75.428888,Snack ,2,10.683799592737405,39
442D,SURRES010DEL03,20,4.6,21.17106,72.789292,21.26106,72.879292,Buffet ,3,13.681590426854767,18
5121,MUMRES18DEL01,33,4.9,19.1093,72.825451,19.1793,72.895451,Snack ,2,10.707675026486205,48
CCA6,KOLRES14DEL02,36,4.7,22.552996,88.35231,22.572996,88.37231,Snack ,3,3.0270968572420225,17
